gold_label,sentence1,sentence2
neutral,"A woman in a bathroom, sitting on the sink, is doing her makeup.",A woman puts on clown makeup.
entailment,Four children are dressed as clowns and dancers on a stage while another two children dressed as clowns are suspended from ropes.,Six children are putting on a clown show.
entailment,"A man, dressed in a green shirt with black pants, is transporting luggage strapped to a wheelbarrow, down a cobblestone road.",The shirt is green.
contradiction,A woman in glittery face-paint and a sequined cap parades with several similarly-dressed individuals in shades of orange and brown.,The woman is swimming alone in her indoor pool on the moon.
neutral,Young man engraves Arabic writing into a stone.,Young man is engraving into a stone while his family looks on.
entailment,Man relaxing on a bench at the bus stop.,The man relaxes on a bench.
neutral,A small dog wearing a denim miniskirt.,A dog is in a dog show competion.
neutral,Two women stop between a red smart car and a group of photographers to examine their items in hand.,The women are sisters.
entailment,A tattooed boxer is punching his opponent in a boxing arena.,A boxer is competing in a fight.
neutral,A boy in a black swimsuit playing near the water.,A boy is building a sandcastle near the water.
neutral,A young girl sits on a blue bench drinking out of a straw.,A girl is drinking through a straw on a humid day.
contradiction,The exhaustion in the woman's face while she continues to ride her bicycle in the competition.,Nobody is on a bike
neutral,Group of men post on the stairway of an old house.,Men are waiting for a party at an old house.
contradiction,A small dog wearing a green sweater and a backpack walks through snow.,A huge dog wearing nothing runs through the yard.
entailment,Golfer celebrates after a shot he has made.,An athlete has just made a shot with his golf club.
entailment,A dog reaches to catch a ball with its mouth.,The dog is playing with a ball.
entailment,"Two men, one in a gray tattered suit and the other in a brown shirt, are looking down.",Two people are looking from above.
neutral,A group of teenagers enjoying cooling off in a fountain of water.,The young people are splashing each other in the fountain.
entailment,A nicely dressed woman putting a handful of cotton candy in her mouth in a public square in Europe.,A woman is eating cotton candy.
neutral,Two men stand in an electric outdoor lift.,"The two men are inspectors for the FDA, waiting to inspect the second level of the pharmaceutical plant."
entailment,The little boy in jean shorts kicks the soccer ball.,A little boy is kicking a ball.
entailment,A football player in a blue and yellow uniform is tackling another player in a white and gold uniform.,A football player is wearing blue and yellow.
contradiction,A mountain biker clad in protective gear clears a small dirt mound on a track while an audience watches.,A mountain falls in front of a crowd.
entailment,Two elderly people are walking down the street on a sunny day.,The elderly people are strolling outside.
entailment,An adult ballerina shows you children how to dance.,A ballerina is teaching kids ballet.
contradiction,There is a baseball player in a yellow shirt running midfield.,The baseball player is playing hockey.
entailment,The greyhounds are running quickly in this race.,The dogs are running quickly in this race.
contradiction,A taxi is trying to drive on a street amidst a crowd of people.,The taxi is in the garage.
neutral,A man trying to block another man from shooting the ball in.,The man is the goalie.
entailment,a man in pants dancing in a park.,A man is outside.
neutral,"With the sun rising, a person is gliding with a huge parachute attached to them.",The person is skydiving with others
neutral,Semi-pro martial artist practices his most powerful moves.,The martial artist has been trained.
neutral,woman with not a whole lot of clothes on playing on phone,A scantily clad stripper is on her phone waiting for her turn to dance.
contradiction,A boy in dark blue clothes is kneeling while holding a toy.,The boy is eating a pie.
neutral,A girl is posing outside.,A girl is taking a picture.
contradiction,A woman in a white hat and red dress holding hands with a man in a black jacket with a flower in his upper pocket.,The woman is alone and asleep in the car on the moon.
neutral,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The person bathing the small baby is the mother.
contradiction,"Eight women in bright dresses, embracing themselves, dance on stage while looking up at the camera.",The women are wearing dark coats.
neutral,A man wearing glasses and black clothing is sitting while a man in a vest drinks in the background.,A man is wearing glasses and light black clothing.
contradiction,Two men and a woman finishing a meal and drinks.,Two men and a woman playing in a band.
entailment,"A gentleman cooks multiple dishes while preparing extra ingredients in his kitchen, windows open behind him.",A man inside of a building.
entailment,A diver is swimming with a turtle.,A turtle has a diver swimming with it.
contradiction,"A man and a woman at a meal, with a dog between them.",A man and woman have two cats between them.
neutral,A group of men are searching for something.,A group of men are using flashlights to find something.
entailment,A man in a black hoodie watching a man in a red cap.,There is a man watching another man.
neutral,A woman singer holding a microphone singing at a concert.,madonna is singing at a concert
entailment,There is a baseball player in a yellow shirt running midfield.,The baseball player is on the field.
neutral,Man wearing dark clothes walks down a street with a wall of graffiti to his left.,A man is looking at the graffiti.
neutral,A man with a cap and brown shirt is standing on a grassy incline by a pile of hay or grass on some kind of wooden sled attached to a horse with chains.,A farmer is leading his horse carrying hay back to the barn.
contradiction,Little girl eating cake outside.,A little girl is playing in the basement.
entailment,A man holding a sleeping child walks with a woman.,A man and woman walk while carrying a sleeping child
contradiction,A girl in a red polka dot bikini is jumping off a sand dune.,A girl in a bikini is buried in the sand.
entailment,Thick clouds masked the sky for the Braun sponsored event as the crowd looked up at the raised platform while a small group of bike stunt riders watched one rider land on his feet while his bike was still in the air.,A group of bike stunt riders are at an event.
neutral,Two girls are in line about to order at a Mexican eatery.,Two sad girls are in line about to order at a Mexican eatery.
neutral,"A football player in a blue ""Rams"" jersey runs with a football on a field, as another player in a white jersey falls in an attempt to tackle him.",The football players are having fun
contradiction,"A young man and woman lay on a bed, the woman makes a goofy face.",The couple on the bed are angry.
contradiction,"A man in a pink shirt is stealing an old couples bike, the possibility he is a loan shark collecting his dues are high.",A couple is giving a man a bike as a gift.
neutral,A dog with big ears holds a ball in his mouth.,The dog is playing fetch.
contradiction,One boy is driving a play tractor while the other boy jumps off the back of the play tractor.,There is only one boy present.
neutral,A man wearing a pink shirt and wearing glasses crouching down in front of a basket of clothing at the laundromat.,He is wearing red shorts.
contradiction,A man is performing tricks with his superbike.,A bike is in the garage.
contradiction,"Man in green vest directing traffic in snowy conditions, pedestrians standing on the sidelines.",A man is a soldier in a fight
entailment,A local policeman standing in front of the counter with complete equipments belted to his waist.,A local policeman standing in front of the counter
neutral,A young boy in a field of flowers carrying a ball,boy leaving baseball game
contradiction,Several women with long hair and mini-dresses walk together.,A group of men on a bass boat.
contradiction,A man in all black clothes does a breakdancing move.,The man in all black is doing the tango.
entailment,"Performers wearing bright robes, one with a long necklace and some masks.",The people are perfomers
entailment,a shepherd breed dog running on the beach,A dog is running around
neutral,A group of people walk up a ramp on a cloudy day.,The people are walking up the ramp to a store.
neutral,"Two kids on a boat, one with a paddle, and the other on the edge wearing a life vest.",Two kids are boating in the Indian Ocean.
contradiction,A blond-haired lady with a gray tank top and jeans is holding her phone while she puts her other hand through her hair while a dark-haired lady walks next to her.,Two people are sliding down a hill on their bottoms.
contradiction,A girl in a flower dress is running on sand.,The girl is wearing a green striped dress.
neutral,There are two people sitting and eating ice cream while others in the background are walking.,The two people are eating chocolate ice cream.
contradiction,A cement truck pours cement on the street.,The truck isn't doing anything
contradiction,There is a man wearing a red shirt and brown shorts jumping up to hit a tennis ball with a racket.,A man is wearing a black shirt
contradiction,"Inside the igloo, the young man gets ready for his overnight stay.",The young man gets ready to leave.
contradiction,A man holding up a bright pink umbrella on a city street.,The man is inside a building.
contradiction,"A man wearing black pants, a black shirt, and an orange hat is using a nail gun to attach tar paper to a roof.",The man on a merry go round.
contradiction,A man jumps over another man doing a back flip.,"Two men are sitting down, watching the game."
contradiction,"Children's boys outdoor soccer game, 4 children visible from the blue team in front of many background onlookers.",There is an adult football game on the tc
entailment,A young boy riding on the shoulders of a man outdoors.,A man has a yound boy on his shoulders outside.
contradiction,A dog runs through the woods near a cottage.,the dog is sleeping on the ground
neutral,"His back facing us, a young man photographs a lovely mountain lake scene under a hazy sky.",A young man photographs the Rocky Mountains.
contradiction,A young girl in a pink coat erasing words on a chalkboard sign.,A little girl is sitting at her desk.
entailment,Several men working to repair a McDonald's sign.,Several men are repairing a sign
contradiction,"A male child with blond-hair, green eyes, and a sticky looking mouth wearing a multicolored t-shirt has his hand wrapped around a popsicle stick and is chewing and has it inserted into his mouth where you can see 4 bright white teeth on the bottom row.",Nobody has a shirt
contradiction,"Two young girls have fun on a trampoline, one of which appears to be falling down onto her back while the other poses with a smile behind her.",Two young girls are sitting on a trampoline talking.
entailment,A boy in sandals is looking at a camera in a busy street.,"A boy is in a busy street, wearing sandals, looking at a camera"
entailment,A man riding a dirt bike on a racetrack.,A man is riding a dirt bike.
entailment,A child does a handstand in a pool.,A small boy is in a pool.
entailment,A nurse examines equipment in the operating room.,A nurse at work.
neutral,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table.",A small light orange case is on the table.
neutral,A man plays mini-gold on the SportsCenter set while two others observe.,The man is indoors.
entailment,A musician with short blond-hair and wearing a blue scarf and vest plays a string instrument while singing.,A person with a scarf
contradiction,A young child wearing a pink top is with a female adult.,A kid is alone.
entailment,A man is herding horned cows on a horse.,A person is chasing animals.
entailment,"Four women in front of Odeon wear similar black, pink and white superman type shirts and jean skirts.",Four women are wearing jean skirts outside of a cinema.
neutral,A guy pointing at a giant Blackberry.,A man pointing to a display he just put up.
neutral,A nun is taking a picture outside.,A nun is taking a selfie.
neutral,the man in jeans is sitting by the river with large fish.,A man in jeans is sitting by a river with large koi fish.
neutral,a skateboarder is performing stunt on a graffiti covered skateboard ramp.,A skateboarder likes to skateboard on ramps.
entailment,A woman sitting with two men hugging.,A group of people are sitting together.
neutral,"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives, surrounded by many people, with a columned building behind him.",The man is getting ready to speak.
contradiction,A young man is pushing a lawn mower to mow the grass.,A guy rides a lawn mower in the grass.
entailment,City workers in bright yellow and green safety suits haul a stack of traffic cones through the snow and past the tree trunk.,City workers are moving traffic cones through the snow.
neutral,A man wearing an orange hard hat is being lowered down the side of a building.,The man is working on the building.
contradiction,Two hikers rest on a snow-covered mountain.,People sunbathe on a beach.
contradiction,Flaming are shooting from the rear of a race car.,Flames are shooting from the front of a race car.
contradiction,A man in a hat is working with golden colored flowers.,Women are working with flowers.
neutral,A man standing in front of a class of Asian students holding a picture of Santa Claus.,A tall human standing
neutral,A man with a white towel wrapped around the lower part of his face and neck.,He doesn't want hair to land on his neck.
neutral,A woman is eating what appears to be a mussel.,The woman is at a restuarant
entailment,Two construction workers sitting around a hole with a third construction worker in it.,Men are working.
entailment,The woman is holding the hand of the little girl in the red dress with the polka-dotted skirt.,A little girl wearing a red dress holds a woman's hand.
entailment,A group of children sit on a blue mat while they eat out of bowls.,Kids eating.
neutral,A child slides down a colorful slide while another child watches,"A child watches a friend slide down the slide, excited to slide down herself."
entailment,"The crew shells are passing under marker 7, with the nearest shell in front by a good margin.",some shells pass under a marker marked 7
entailment,A jockey wearing a blue jacket is riding a dark brown horse in a gallop.,A jockey is riding a horse in a gallop.
contradiction,Two men standing near a metal structure in front of a brick wall.,Men hang drywall inside a house.
neutral,A couple of peace corp workers are helping a black kid dig.,The peace corp people are helping the black kid dig a hole to find gold.
entailment,A young man is standing staring at something.,A young man has his eyes open.
contradiction,A colorfully dressed young man with visible skin lesions is sitting and smoking a cigarette.,a man is sleeping
contradiction,"A little girl wearing a pink, yellow and white bathing suit, gets wet from a splash of water.",A girl wears a suit to work.
contradiction,Two people look at two red motorcycles in a place where there are religious murals on the wall.,The two people are looking at cars.
contradiction,A man in a green Celtic sleeveless jersey shirt and short stone washed jean shorts sitting and eating.,The man is wearing a Cowboys jersey.
contradiction,A person in orange climbs a sheer cliff face covered in snow and ice.,He is shopping at walmart
contradiction,"Woman wearing a red sweater, brown slacks and a white hat, rollerblading on the street in front of a yellow building.",This woman is indoors.
contradiction,A young man trying to buy a car from his dealer after his old car was towed away by police.,A person renting a vehicle.
contradiction,A woman is sitting at a desk near to a window that has a huge picture of a hand painted on it.,Nobody is sitting
entailment,Scientists sit in a laboratory in sterile clothing while looking at microscopes.,Scientists are looking at microscopes
entailment,Beautiful red car among many at a car show full of excited car enthusiasts held on a tree lined street.,The car enthusiasts cheer.
entailment,Speakers in a room full of people sitting in chairs.,There are people indoors.
entailment,A guy wearing a black shirt and gray pants pushing his shopping cart past a candy aisle of a Walmart.,A man is inside a store.
entailment,A standing man in a suit finishes his turn in a chess game as his seated opponent begins his in a crowded park.,A male with clothes on is in front of another male in a crowded park.
entailment,A lone man sitting in a large decorated area.,A man is sitting.
contradiction,Two boys laying tile in a bathroom.,Some kids are napping.
neutral,Two women wearing boots and holding bags are talking to each other.,The women are talking about their shopping trips.
neutral,A woman with a crescent tattoo on her shoulder is painting an image of a face onto a wall.,A woman is an artist.
entailment,A woman standing on one hand in an empty pool.,The pool is not full of water.
neutral,A man in a lab coat looking into a microscope with containers in the background.,A man with a lab coat works in a lab.
entailment,A man is cooking pies in the oven.,The oven has pies in it.
neutral,A man wearing a black T-shirt and a tan jacket wrapped around his waist pulls a wheeled gray and black bag as he walks next to a building that has large glass windows.,An elderly man walking next to a skyscraper.
neutral,The man with the bag is standing on the corner.,The man with the bag is standing on the corner waiting for his wife
neutral,Two young women are standing in the middle of a flower garden with their arms wide open.,The two women are admiring the flowers.
neutral,Woman being photographed near a bicycle.,The model is posing for a bicycle advertisement.
contradiction,Excavation of the ruins of a ancient temple.,People leave the ancient temple.
neutral,A band that is performing on stage for a crowd.,The drummer is doing a solo.
neutral,A young girl in a pink coat erasing words on a chalkboard sign.,A little girl is erasing her work for her teacher.
entailment,"A young woman in a green ""Aeropostale"" shirt and a green bracelet with a black purse, looking down with pursed lips.",A girl wears a green shirt.
contradiction,"Music can be created, through winded instruments, by winded instruments, and they are all enjoyed by different peoples, throughout the world.",the instruments are made of fire
contradiction,A young boy slides into home plate while playing little league baseball.,Children at waterpark splashing on hot day.
contradiction,A young girl wearing a pink coat plays with a yellow toy golf club.,A girl is wearing a blue jacket.
entailment,A man in a green and black coat is leaning on trashcan.,The man in the coat is next to the trash can.
neutral,A girl climbing a rock face.,A girl climbing a rock face beside a dirt trail outside.
entailment,A man playing a sport in a green uniform holding a paddle over his head.,A man is wearing green
entailment,A woman prepares to strike a volleyball.,The woman is near the volleyball.
contradiction,Four cheerleaders performing a cheer on court at UCLA.,Players sitting at the locker room.
contradiction,A child is jumping off a platform into a pool.,The child is running
entailment,A man with a cap and brown shirt is standing on a grassy incline by a pile of hay or grass on some kind of wooden sled attached to a horse with chains.,A man is outside next to a sled filled with hay pulled by a horse.
neutral,A woman swinging a tennis racket on an outdoor court.,A woman is enjoying a game of tennis with her best friend.
neutral,Person doing a trick on a skateboard in a skate park while people watch.,There is a person imitating a skateboard trick from Tony Hawk.
neutral,A woman is holding a baby by a window.,The woman is looking out the window.
contradiction,A man in a yellow excavator on a construction site.,the orange is being peeled
entailment,Three women in festive dresses are dancing in a large city street while a large crowd is behind them holding up a banner.,Three women dance in front of a large crowd
contradiction,A man trying to block another man from shooting the ball in.,The man is playing the guitar at the concert.
contradiction,A tent advertising Surfer Magazine for the 25th annual Longboard Classic on the beach surrounded by palm trees.,The tent is advertising free flu vaccinations.
contradiction,A woman wearing a white shirt and jeans crosses a rope bridge in a wooded area.,A woman wearing a black shirt and khakis crosses a rope bridge in a wooded area.
entailment,A man in a red hat and blue jacket in a protest is holding up a tablet that talks about God and judgement.,The man is holding something up.
neutral,A man in a black long-sleeved tee-shirt is walking down the street with a cane.,A man walking to the store.
entailment,"Young soccer players, wearing blue and white jerseys, walk around while waiting for their turn or play to begin in a soccer match.",a player walks around
entailment,A man wearing a cap and a black wetsuit on a rocky coast lifts a large sack with three sacks in front of him with another man and a small yellow boat in the background.,A man standing by a body of water.
entailment,Three women wearing belly dancing costumes are pictured in color while the background of the shot is in black and white.,three women dance in belly dancing costumes
neutral,A group of 9 men and women walking upstairs.,The group is working together.
contradiction,A small ice cream stand with two people standing near it.,Two people selling ice cream from a car.
neutral,A man is standing in the aisle of a grocery store and staring at the cereal selection.,A man is wondering what cereal to buy his children.
contradiction,An Asian woman stands along a road where 2 buses have passed holding her bags.,The Asian woman is singing.
neutral,Old man crafting something in his workshop.,An old man is working at his home workshop.
contradiction,A man is roller-skating down the wall next to some white steps.,A woman is paying for lunch.
entailment,Little kids enjoy sprinklers by running through them outdoors.,Children are getting wet on purpose.
entailment,A man in a green apron smiles behind a food stand.,A man smiles.
entailment,A man in a beanie doing a bike trick.,The man is riding a bike.
contradiction,two women in lab coats looking on a image projected on the wall,Men are watching soap operas.
contradiction,A boy in a blue life jacket jumps off a board into the lake.,The life jacket is red
contradiction,A black dog jumps over an obstacle.,Cats are chasing each other with dog eating hats
neutral,two golden dogs are chewing a white cushion on a wooden patio.,"Two golden dogs chewing on a cushion, waiting for their master to come home."
neutral,"A woman with short blond-hair smiling and singing into a microphone while a man in a striped shirt, further back, plays an acoustic guitar.",A woman is singing a Britney Spears song with her brother
neutral,A girl prepares herself for the swim meet.,The girl is wearing all black.
contradiction,A man sitting in a small shelter with various articles of clothing hanging on the wall.,A guy is in a spacious dining room.
entailment,A man with a mustache who is wearing white and beige carefully sculpts a sand castle.,A man playing in the sand
neutral,A small blond child is playing with puzzle piece of varying color on the leg of someone else.,A small child is playing by his mom.
neutral,"Young soccer players, wearing blue and white jerseys, walk around while waiting for their turn or play to begin in a soccer match.",the player is a woman
entailment,A bundled boy sleds down the slope.,A boy is sledding
neutral,Two men and a woman finishing a meal and drinks.,Two men and a woman finishing a fish dinner and drinks.
contradiction,"A woman in a dark blue, and white sweater, walks with her son, down a street.",A woman drives her son to soccer practice.
neutral,A photographer snaps a midair action shot of a snowboarder.,The camera is on a tripod.
neutral,women in a hat a making selling goods.,A woman wearing a hat is selling goods to feed her family.
neutral,A man is looking over a small cliff.,The cliff is near the ocean
neutral,Two kids in winter clothing play near a lakefront.,kids playing near a lake on vacation
entailment,a skateboarder ollies.,Someone is on a board with four wheels.
contradiction,Street performer with bowler hat and high boots performs outside.,The child is dancing inside.
neutral,"A guy with long hair, a ball cap, and a blue shirt is smiling as he walks along the boardwalk",the man is white
neutral,A young man is standing staring at something.,A young man is looking intently at a young woman.
contradiction,"A four piece male band which includes two saxophone players, a trumpet player and a trombone player are playing on a stage while two other males are dancing in front of the band.",An all-girl band is performing at the jazz fest tonight.
contradiction,Girl laying atop floating dock.,A female is asleep on the deck.
entailment,"People in a warehouse, with one man kicking a bag.",People inside.
neutral,A basset hound is tied to a doorway in an alley in front of a man and woman.,It is their dog.
neutral,"A young boy is bowling for one pin with a ball outside, while 3 other people are in the background.",A young boy is bowling in a tournament.
contradiction,A young boy is looking into a silver cellphone while resting his light brown-haired head on top of a resting blond dog's head.,Nobody is looking
entailment,Two women and a younger girl laugh and converse in front of a green tent and blue microphone.,Two women and a younger girl laugh
contradiction,Five adults are sitting on stone steps.,Three adults are sitting on stone steps while 2 are sitting on the railings.
neutral,Two guys sitting in a room with green and white curtain.,Two men are sitting and smoking.
neutral,Santa Claus being photographed at a holiday media event.,Santa is photographed with a young child at a holiday media event.
contradiction,A man in a fleece jacket works with a piece of tin.,The man is not wearing a jacket.
neutral,A group of women are sitting and knitting together in a cafe.,the women are knitting scarves
entailment,"Two men, one wearing a white hockey jersey and the other a red hockey jersey, playing hockey on an ice rink.",A hockey game is happening.
neutral,A baby in an indoor pool is using an inflatable tube on it's on,The baby is swimming
entailment,A police officer is standing with his arms crossed.,A cop is standing up.
neutral,People walking down a busy city street in the winter.,The people walking down a busy city street are trying to catch a limited release purchase event.
contradiction,"Three women on a stage, one wearing red shoes, black pants, and a gray shirt is sitting on a prop, another is sitting on the floor, and the third wearing a black shirt and pants is standing, as a gentleman in the back tunes an instrument.",There are two women standing on the stage
entailment,Two men exchange conversation in a crowded place.,Two men exchange conversation in a crowded arena.
contradiction,There is a street with buildings and one man in black walking on the side of the road.,The buildings are walking on the street.
entailment,"Two teams, one wearing black and white, one wearing red and white, and a man in yellow and black, play football (soccer) in a stadium.",Two teams are playing soccer
neutral,A light colored dog splashes through the water.,The dog is swimming to its owner.
entailment,"Nine women in blue and purple dresses and one man wearing a purple shirt and black pants, clap while a man dressed in black dances.",There are people clapping.
contradiction,Two Olympic martial arts competitors go after each other in an international martial arts spectacle.,A man is cleaning and polishing a large candy dish.
contradiction,"A man in a brown hooded sweatshirt outdoors with an upright bass, playing the strings with his fingers.",The man isn't wearing anything.
neutral,"Several people standing in front of a pile of snow in front of a house, with one person shoveling.",A young girl is shoveling snow.
entailment,Two boys standing on top of a diving platform and one captured midair.,Two boys standing on top of a diving platform
contradiction,Two girls are playing tug-of-war and losing as the girl in front is drug into a muddy puddle of water.,Nobody is falling.
entailment,A man is jumping unto his filthy bed.,The bed is dirty.
